,user_id,item_id,exposure_time,internet_environment,number_of_refreshes,exposure_position,whether_to_click,consumption_time,exposure_date,index,device_name,operating_system,province,city,age,gender,primary,secondary,key_words,number_of_pictures,posting_time,date_of_publication,date_dif_from_pu_to_exposure,exposure_date_idx,user_id_exposure_total,item_id_exposure_total,primary_exposure_total,secondary_exposure_total,user_idprimary_exposure_total,user_idsecondary_exposure_total,user_id_ctr_mean,user_id_ctr_total_sum,item_id_ctr_mean,item_id_ctr_total_sum,primary_ctr_mean,primary_ctr_total_sum,secondary_ctr_mean,secondary_ctr_total_sum,user_idprimary_ctr_mean,user_idprimary_ctr_total_sum,user_idsecondary_ctr_mean,user_idsecondary_ctr_total_sum,user_id_consumption_time_mean,user_id_consumption_time_std,user_id_consumption_time_sum,item_id_consumption_time_mean,item_id_consumption_time_std,item_id_consumption_time_sum,primary_consumption_time_mean,primary_consumption_time_std,primary_consumption_time_sum,secondary_consumption_time_mean,secondary_consumption_time_std,secondary_consumption_time_sum,user_idprimary_consumption_time_mean,user_idprimary_consumption_time_std,user_idprimary_consumption_time_sum,user_idsecondary_consumption_time_mean,user_idsecondary_consumption_time_std,user_idsecondary_consumption_time_sum
0,0,499,2021-06-28 09:29:16.147000+08:00,2,0.0,50,0,0.0,2021-06-28,0,1,0,3,1,2,1,12,61,19,1.946,2021-06-26 17:18:17+08:00,2021-06-26,1.099,3,2.303,0.0,4.16,3.178,0.0,0.0,0.2876,1.387,0.0,0.0,0.2007,2.709,0.1967,1.792,0.0,0.0,0.0,0.0,4.566,5.23,6.754,0.0,0.0,0.0,3.057,4.004,7.152,2.262,2.943,5.293,0.0,0.0,0.0,0.0,0.0,0.0
1,0,692,2021-06-28 09:29:16.147000+08:00,2,0.0,30,1,80.0,2021-06-28,1,1,0,3,1,2,1,14,80,888,1.387,2021-06-27 20:47:20+08:00,2021-06-27,0.6934,3,2.303,0.0,3.258,3.258,2.08,2.08,0.2876,1.387,0.0,0.0,0.2468,2.08,0.2468,2.08,0.3567,1.387,0.3567,1.387,4.566,5.23,6.754,0.0,0.0,0.0,3.748,4.766,6.945,3.748,4.766,6.945,4.816,5.33,6.754,4.816,5.33,6.754
2,0,1442,2021-06-30 19:36:39.841000+08:00,2,0.0,30,1,1050.0,2021-06-30,2,1,0,3,1,2,1,14,80,154,2.197,2021-06-30 13:19:06+08:00,2021-06-30,0.0,5,2.709,0.0,4.145,4.13,2.484,2.484,0.3054,1.792,0.0,0.0,0.2036,2.709,0.2067,2.709,0.3748,1.792,0.3748,1.792,4.234,5.03,6.863,0.0,0.0,0.0,3.244,4.38,7.332,3.26,4.387,7.332,4.473,5.13,6.863,4.473,5.13,6.863
3,0,1325,2021-06-30 19:36:39.841000+08:00,2,0.0,50,1,286.0,2021-06-30,3,1,0,3,1,2,1,0,1,0,0.0,,,0.0,5,2.709,0.0,0.0,0.0,0.0,0.0,0.3054,1.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.234,5.03,6.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,1909,2021-07-04 15:07:01.168000+08:00,2,0.0,124,0,0.0,2021-07-04,4,1,0,3,1,2,1,15,100,542,1.609,2021-07-02 01:06:31+08:00,2021-07-02,1.099,9,3.045,0.0,4.305,3.555,0.6934,0.0,0.4382,2.484,0.0,0.0,0.1163,2.303,0.1112,1.609,0.6934,0.6934,0.0,0.0,4.984,5.523,7.973,0.0,0.0,0.0,3.432,5.17,7.69,3.887,5.535,7.395,5.375,0.0,5.375,0.0,0.0,0.0
5,0,2191,2021-07-04 15:07:01.168000+08:00,2,0.0,113,1,285.0,2021-07-04,5,1,0,3,1,2,1,5,33,226,2.484,2021-07-03 18:13:34+08:00,2021-07-03,0.6934,9,3.045,0.0,2.197,1.387,0.0,0.0,0.4382,2.484,0.0,0.0,0.2231,1.099,0.2876,0.6934,0.0,0.0,0.0,0.0,4.984,5.523,7.973,0.0,0.0,0.0,3.314,3.934,5.36,3.754,4.293,4.836,0.0,0.0,0.0,0.0,0.0,0.0
6,0,2319,2021-07-04 15:07:01.168000+08:00,2,0.0,0,1,353.0,2021-07-04,6,1,0,3,1,2,1,14,80,153,1.387,2021-07-04 10:01:18+08:00,2021-07-04,0.0,9,3.045,0.0,4.37,4.344,2.639,2.639,0.4382,2.484,0.0,0.0,0.2076,2.945,0.2125,2.945,0.4795,2.197,0.4795,2.197,4.984,5.523,7.973,0.0,0.0,0.0,3.691,4.918,8.02,3.717,4.93,8.02,5.207,5.69,7.766,5.207,5.69,7.766
7,0,282,2021-06-27 09:25:47.178000+08:00,2,0.0,30,0,0.0,2021-06-27,7,1,0,3,1,2,1,32,101,543,1.609,2021-06-25 11:58:18+08:00,2021-06-25,1.099,2,1.792,0.0,1.946,0.0,0.0,0.0,0.1824,0.6934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676,5.477,6.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,1019,2021-06-30 08:08:14.982000+08:00,2,0.6934,62,0,0.0,2021-06-30,8,1,0,3,1,2,1,14,80,1059,1.387,2021-06-28 22:52:22+08:00,2021-06-28,1.099,5,2.709,0.0,4.145,4.13,2.484,2.484,0.3054,1.792,0.0,0.0,0.2036,2.709,0.2067,2.709,0.3748,1.792,0.3748,1.792,4.234,5.03,6.863,0.0,0.0,0.0,3.244,4.38,7.332,3.26,4.387,7.332,4.473,5.13,6.863,4.473,5.13,6.863
9,0,1047,2021-06-30 07:35:31.701000+08:00,2,0.0,68,1,215.0,2021-06-30,9,1,0,3,1,2,1,15,107,685,2.08,2021-06-29 00:06:18+08:00,2021-06-29,0.6934,5,2.709,0.0,3.713,0.0,0.0,0.0,0.3054,1.792,0.0,0.0,0.1178,1.792,0.0,0.0,0.0,0.0,0.0,0.0,4.234,5.03,6.863,0.0,0.0,0.0,3.783,5.457,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
